President,SOTU,Month_Day,Year,Speech_Start_Line,Speech_End_Line
Grover Cleveland, State of the Union Address, December 8, 1885,69493,71597
Grover Cleveland, State of the Union Address, December 6, 1886,71597,73241
Grover Cleveland, State of the Union Address, December 6, 1887,73241,73766
Grover Cleveland, State of the Union Address, December 3, 1888,73766,74777
Benjamin Harrison, State of the Union Address, December 3, 1889,74777,76104
Benjamin Harrison, State of the Union Address, December 1, 1890,76104,77257
Benjamin Harrison, State of the Union Address, December 9, 1891,77257,78829
Benjamin Harrison, State of the Union Address, December 6, 1892,78829,80158
William McKinley, State of the Union Address, December 6, 1897,80158,81345
William McKinley, State of the Union Address, December 5, 1898,81345,83411
William McKinley, State of the Union Address, December 5, 1899,83411,84989
William McKinley, State of the Union Address, December 3, 1900,84989,87035
Theodore Roosevelt, State of the Union Address, December 3, 1901,87035,88926
Theodore Roosevelt, State of the Union Address, December 2, 1902,88926,89865
Theodore Roosevelt, State of the Union Address, December 7, 1903,89865,91286
Theodore Roosevelt, State of the Union Address, December 6, 1904,91286,92951
Theodore Roosevelt, State of the Union Address, December 5, 1905,92951,95239
Theodore Roosevelt, State of the Union Address, December 3, 1906,95239,97380
Theodore Roosevelt, State of the Union Address, December 3, 1907,97380,99906
Theodore Roosevelt, State of the Union Address, December 8, 1908,99906,101768
William H. Taft, State of the Union Address, December 7, 1909,101768,103196
William H. Taft, State of the Union Address, December 6, 1910,103196,103970
William H. Taft, State of the Union Address, December 5, 1911,103970,106474
William H. Taft, State of the Union Address, December 3, 1912,106474,109016
Woodrow Wilson, State of the Union Address, December 2, 1913,109016,109348
Woodrow Wilson, State of the Union Address, December 8, 1914,109348,109762
Woodrow Wilson, State of the Union Address, December 7, 1915,109762,110467
Woodrow Wilson, State of the Union Address, December 5, 1916,110467,110704
Woodrow Wilson, State of the Union Address, December 4, 1917,110704,111082
Woodrow Wilson, State of the Union Address, December 2, 1918,111082,111579
Woodrow Wilson, State of the Union Address, December 2, 1919,111579,112037
Woodrow Wilson, State of the Union Address, December 7, 1920,112037,112302
Warren Harding, State of the Union Address, December 6, 1921,112302,112884
Warren Harding, State of the Union Address, December 8, 1922,112884,113501
Calvin Coolidge, State of the Union Address, December 6, 1923,113501,114257
Calvin Coolidge, State of the Union Address, December 3, 1924,114257,114996
Calvin Coolidge, State of the Union Address, December 8, 1925,114996,116137
Calvin Coolidge, State of the Union Address, December 7, 1926,116137,117198
Calvin Coolidge, State of the Union Address, December 6, 1927,117198,118136
Calvin Coolidge, State of the Union Address, December 4, 1928,118136,119045
Herbert Hoover, State of the Union Address, December 3, 1929,119045,120277
Herbert Hoover, State of the Union Address, December 2, 1930,120277,120822
Herbert Hoover, State of the Union Address, December 8, 1931,120822,121502
Herbert Hoover, State of the Union Address, December 6, 1932,121502,121644
Franklin D. Roosevelt, State of the Union Address, January 3, 1934,121644,121893
Franklin D. Roosevelt, State of the Union Address, January 4, 1935,121893,122276
Franklin D. Roosevelt, State of the Union Address, January 3, 1936,122276,122680
Franklin D. Roosevelt, State of the Union Address, January 6, 1937,122680,122987
Franklin D. Roosevelt, State of the Union Address, January 3, 1938,122987,123505
Franklin D. Roosevelt, State of the Union Address, January 4, 1939,123505,123965
Franklin D. Roosevelt, State of the Union Address, January 3, 1940,123965,124335
Franklin D. Roosevelt, State of the Union Address, January 6, 1941,124335,124744
Franklin D. Roosevelt, State of the Union Address, January 6, 1942,124744,125135
Franklin D. Roosevelt, State of the Union Address, January 7, 1943,125135,125654
Franklin D. Roosevelt, State of the Union Address, January 11, 1944,125654,126095
Franklin D. Roosevelt, State of the Union Address, January 6, 1945,126095,127058
Harry S. Truman, State of the Union Address, January 21, 1946,127058,130349
Harry S. Truman, State of the Union Address, January 6, 1947,130349,131088
Harry S. Truman, State of the Union Address, January 7, 1948,131088,131723
Harry S. Truman, State of the Union Address, January 5, 1949,131723,132152
Harry S. Truman, State of the Union Address, January 4, 1950,132152,132709
Harry S. Truman, State of the Union Address, January 8, 1951,132709,133192
Harry S. Truman, State of the Union Address, January 9, 1952,133192,133795
Harry S. Truman, State of the Union Address, January 7, 1953,133795,134857
Dwight D. Eisenhower, State of the Union Address, February 2, 1953,134857,135731
Dwight D. Eisenhower, State of the Union Address, January 7, 1954,135731,136475
Dwight D. Eisenhower, State of the Union Address, January 6, 1955,136475,137335
Dwight D. Eisenhower, State of the Union Address, January 5, 1956,137335,138284
Dwight D. Eisenhower, State of the Union Address, January 10, 1957,138284,138776
Dwight D. Eisenhower, State of the Union Address, January 9, 1958,138776,139425
Dwight D. Eisenhower, State of the Union Address, January 9, 1959,139425,140047
Dwight D. Eisenhower, State of the Union Address, January 7, 1960,140047,140746
Dwight D. Eisenhower, State of the Union Address, January 12, 1961,140746,141555
John F. Kennedy, State of the Union Address, January 30, 1961,141555,142131
John F. Kennedy, State of the Union Address, January 11, 1962,142131,142882
John F. Kennedy, State of the Union Address, January 14, 1963,142882,143479
Lyndon B. Johnson, State of the Union Address, January 8, 1964,143479,143862
Lyndon B. Johnson, State of the Union Address, January 4, 1965,143862,144523
Lyndon B. Johnson, State of the Union Address, January 12, 1966,144523,145180
Lyndon B. Johnson, State of the Union Address, January 10, 1967,145180,146036
Lyndon B. Johnson, State of the Union Address, January 17, 1968,146036,146701
Lyndon B. Johnson, State of the Union Address, January 14, 1969,146701,147213
Richard Nixon, State of the Union Address, January 22, 1970,147213,147762
Richard Nixon, State of the Union Address, January 22, 1971,147762,148313
Richard Nixon, State of the Union Address, January 20, 1972,148313,148814
Richard Nixon, State of the Union Address, February 2, 1973,148814,149018
Richard Nixon, State of the Union Address, January 30, 1974,149018,149571
Gerald R. Ford, State of the Union Address, January 15, 1975,149571,150068
Gerald R. Ford, State of the Union Address, January 19, 1976,150068,150672
Gerald R. Ford, State of the Union Address, January 12, 1977,150672,151181
Jimmy Carter, State of the Union Address, January 19, 1978,151181,151727
Jimmy Carter, State of the Union Address, January 25, 1979,151727,152120
Jimmy Carter, State of the Union Address, January 21, 1980,152120,152498
Jimmy Carter, State of the Union Address, January 16, 1981,152498,156635
Ronald Reagan, State of the Union Address, January 26, 1982,156635,157203
Ronald Reagan, State of the Union Address, January 25, 1983,157203,157805
Ronald Reagan, State of the Union Address, January 25, 1984,157805,158356
Ronald Reagan, State of the Union Address, February 6, 1985,158356,158835
Ronald Reagan, State of the Union Address, February 4, 1986,158835,159184
Ronald Reagan, State of the Union Address, January 27, 1987,159184,159559
Ronald Reagan, State of the Union Address, January 25, 1988,159559,160043
George H.W. Bush, State of the Union Address, January 31, 1990,160043,160473
George H.W. Bush, State of the Union Address, January 29, 1991,160473,160928
George H.W. Bush, State of the Union Address, January 28, 1992,160928,161389
William J. Clinton, State of the Union Address, January 25, 1994,161389,162165
William J. Clinton, State of the Union Address, January 24, 1995,162165,163202
William J. Clinton, State of the Union Address, January 23, 1996,163202,163905
William J. Clinton, State of the Union Address, February 4, 1997,163905,164666
William J. Clinton, State of the Union Address, January 27, 1998,164666,165477
William J. Clinton, State of the Union Address, January 19, 1999,165477,166347
William J. Clinton, State of the Union Address, January 27, 2000,166347,167194
George W. Bush, State of the Union Address, February 27, 2001,167194,167684
George W. Bush, State of the Union Address, September 20, 2001,167684,168029
George W. Bush, State of the Union Address, January 29, 2002,168029,168467
George W. Bush, State of the Union Address, January 28, 2003,168467,169047
George W. Bush, State of the Union Address, January 20, 2004,169047,169606
George W. Bush, State of the Union Address, February 2, 2005,169606,170136
George W. Bush, State of the Union Address, January 31, 2006,170136,170713
George W. Bush, State of the Union Address, January 23, 2007,170713,171290
George W. Bush, State of the Union Address, January 28, 2008,171290,171898
Barack Obama, State of the Union Address, February 24, 2009,171898,172510
Barack Obama, State of the Union Address, January 27, 2010,172510,173259
Barack Obama, State of the Union Address, January 25, 2011,173259,173993
Barack Obama, State of the Union Address, January 24, 2012,173993,174740
Barack Obama, State of the Union Address, February 12, 2013,174740,175453
Barack Obama, State of the Union Address, January 28, 2014,175453,176173
Barack Obama, State of the Union Address, January 20, 2015,176173,176866
Barack Obama, State of the Union Address, January 12, 2016,176866,177471
